sender_id,sender_id_link,date,user goal (if supported),user goal fullfilled,user goal (not supported) ,reason for failure,details on failure / comments
,c7e3626c16684c31ac15053bf7f45a2b,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,chitchat,no,,,
,tried spanish,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,chitchat,no,,,
,,07.11.2018,sales,yes,,,
,,07.11.2018,oos,yes,send docs,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/4166576c48b84e328e897ee295045dd9/1541614286.0458431,07.11.2018,rasa_help,no,what languages available,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/21a0e4ea7a754a878acd9a1536f9ca89,07.11.2018,rasa_help,no,,user was weird,
,,07.11.2018,whatspossible,yes,,,
,,07.11.2018,oos,yes,how accurate is rasa,,
,,07.11.2018,rasa_help,no,,user was weird,
,,07.11.2018,subscribe,yes,,,
,,07.11.2018,-,,,,
,tried spanish,07.11.2018,chitchat,yes,,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,oos,yes,"entity extraction, how install rasa stack, who founded rasa",,
,,07.11.2018,oos,yes,rasa costs,,
,,07.11.2018,chitchat,no,,,
,,07.11.2018,-,,,,
,,07.11.2018,oos,yes,how to utter an image,,
,,07.11.2018,chitchat,no,,,
,https://website-demo.rasa.com/conversations/8484bbd3b1924ca890f92e1648eb831a,07.11.2018,rasa_help,no,,,
,,07.11.2018,oos,yes,how to add new language,,
,,07.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/f56b4b65e4c34e60afc0b3a00385701a,07.11.2018,rasa_help,no,,Core,wrong action after get started
,https://website-demo.rasa.com/conversations/3f5276d7d3ff4314b8827aa1c13f475d,07.11.2018,sales,yes,,,
,,07.11.2018,sales,no,,user left,
,,07.11.2018,chitchat,no,,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,chitchat,yes,,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,chitchat,no,,,
,,07.11.2018,oos,yes,do you use deep learning,,
,https://website-demo.rasa.com/conversations/e934f1086013478582e84e928085ae6d,07.11.2018,oos,no,rasa costs,"several questions, only one answered",
,,07.11.2018,oos,yes,need banking use case,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,chitchat,no,,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,sales,yes,,,
,,07.11.2018,-,no,,,
,,07.11.2018,oos,no,is rasa open source,,
,,07.11.2018,-,no,,,
,,07.11.2018,chitchat,yes,,,
,,07.11.2018,-,,,,
,,07.11.2018,rasa_help,no,,,
,,07.11.2018,oos,yes,how install on cloud,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,chitchat,no,,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,chitchat,no,,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,,07.11.2018,subscribe,yes,,,
,,07.11.2018,-,,,,
,,07.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/38e2fdcb82b549d0a58e5139875dee72,07.11.2018,-,,,,
,,09.11.2018,oos,,error in code,,
,,09.11.2018,chitchat,yes,,,
,,09.11.2018,oos,no,need tutorial,,
,,09.11.2018,-,,,,
,,09.11.2018,-,,,,
,,09.11.2018,-,,,,
,,09.11.2018,-,,,,
,,09.11.2018,whatspossible,yes,,,
,https://website-demo.rasa.com/conversations/1f22ac9fcefc4811b3ff159448407ea3,09.11.2018,rasa_help,no,,,
,https://website-demo.rasa.com/conversations/6c501c2179c1433ab62725989b8377ea,09.11.2018,sales,no,,,
,,09.11.2018,oos,,languages,,
,,09.11.2018,oos,yes,whatspossible gut german,spoke german,
,,09.11.2018,chitchat,yes,,,
,,09.11.2018,-,,,,
,,09.11.2018,-,,,,
,,09.11.2018,-,,,,
,,09.11.2018,rasa_help,no,asked if ml is included ,,
,,09.11.2018,sales,yes,,,
,,09.11.2018,-,,,,
,,09.11.2018,subscribe,yes,,,
,,09.11.2018,whatspossible,yes,,,
,,09.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/9c03fe3792e54719a52ad6780374a3bd,09.11.2018,rasa_help,no,,asked without get started tell me about NLP,
,,09.11.2018,-,,,,
,,09.11.2018,-,,,,
,,09.11.2018,-,,,,
,,09.11.2018,-,,,,
,,09.11.2018,-,,,,
,,09.11.2018,rasa_help,yes,,,
,,09.11.2018,oos,no,whats your role,fallback,
,https://website-demo.rasa.com/conversations/6125773a9bf84f3480c00c119c362ac7,09.11.2018,chitchat,no,,NLU ,
,,09.11.2018,-,,,,
,,09.11.2018,-,,,,
,,09.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/bfa26b31589b4c93b85a7ababfb4342e,09.11.2018,oos,yes,support for serbian language,,
,,09.11.2018,rasa_help,yes,what is entity,,
,https://website-demo.rasa.com/conversations/cf5c8af26451431fb8a1e891a391fc3e,09.11.2018,oos,no,install ,,
,,09.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/e821c0fe342b4dafb5ba19fcae0deb4f,09.11.2018,oos,yes,language support,,
,https://website-demo.rasa.com/conversations/06297580600d49c5bf834d39b6dde7d8,09.11.2018,oos,yes,bot examples,,
,,09.11.2018,oos,yes,are you human,,
,https://website-demo.rasa.com/conversations/5c9e5031996e4b5fa9f996492c3a4ec9,09.11.2018,chitchat,yes,,,
,,09.11.2018,oos,yes,restaurant,,
,https://website-demo.rasa.com/conversations/961072a3d76849dc926443d042661005,09.11.2018,chitchat,no,,NLU ,
,,09.11.2018,rasa_help,yes,,,
,https://website-demo.rasa.com/conversations/dad7addcc07746dc8c2b22fc32548c79,09.11.2018,rasa_help,yes,,,
,https://website-demo.rasa.com/conversations/dad7addcc07746dc8c2b22fc32548c79,09.11.2018,oos,no,thankyou,,
,,09.11.2018,-,,,,
,https://website-demo.rasa.com/conversations/f865f72ce5d04a729dff5708b6bd0e3f,09.11.2018,rasa_help,no,,technical question NLU,
,,09.11.2018,sales,no,,user left,
,,09.11.2018,chitchat,yes,,,
,,09.11.2018,whatspossible,yes,,,
,https://website-demo.rasa.com/conversations/a19803fb90ee4fdeb1d4e23e4c4263bc,09.11.2018,oos,no,facts about cats,NLU,
,,09.11.2018,-,,,,
,,09.11.2018,subscribe,no,,user left,
